Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
17/07/1900,56.75,56.75,56.75,56.75
18/07/1900,56.61,56.61,56.61,56.61
19/07/1900,57.27,57.27,57.27,57.27
20/07/1900,58.35,58.35,58.35,58.35
21/07/1900,58.35,58.35,58.35,58.35
22/07/1900,58.35,58.35,58.35,58.35
23/07/1900,59.02,59.02,59.02,59.02
24/07/1900,58.35,58.35,58.35,58.35
25/07/1900,58.18,58.18,58.18,58.18
26/07/1900,57.93,57.93,57.93,57.93
27/07/1900,58.03,58.03,58.03,58.03
28/07/1900,58.03,58.03,58.03,58.03
29/07/1900,58.03,58.03,58.03,58.03
30/07/1900,57.13,57.13,57.13,57.13
31/07/1900,56.8,56.8,56.8,56.8
01/08/1900,57.06,57.06,57.06,57.06
02/08/1900,57.21,57.21,57.21,57.21
03/08/1900,57.29,57.29,57.29,57.29
04/08/1900,57.29,57.29,57.29,57.29
05/08/1900,57.29,57.29,57.29,57.29
06/08/1900,57.57,57.57,57.57,57.57
07/08/1900,57.71,57.71,57.71,57.71
08/08/1900,57.88,57.88,57.88,57.88
09/08/1900,57.74,57.74,57.74,57.74
10/08/1900,58,58,58,58
11/08/1900,58,58,58,58
12/08/1900,58,58,58,58
13/08/1900,58.5,58.5,58.5,58.5
14/08/1900,58.77,58.77,58.77,58.77
15/08/1900,58.9,58.9,58.9,58.9
16/08/1900,58.86,58.86,58.86,58.86
17/08/1900,58.84,58.84,58.84,58.84
18/08/1900,58.84,58.84,58.84,58.84
19/08/1900,58.84,58.84,58.84,58.84
20/08/1900,58.8,58.8,58.8,58.8
21/08/1900,58.55,58.55,58.55,58.55
22/08/1900,58.65,58.65,58.65,58.65
23/08/1900,58.42,58.42,58.42,58.42
24/08/1900,58.3,58.3,58.3,58.3
25/08/1900,58.3,58.3,58.3,58.3
26/08/1900,58.3,58.3,58.3,58.3
27/08/1900,58.22,58.22,58.22,58.22
28/08/1900,57.79,57.79,57.79,57.79
29/08/1900,58.43,58.43,58.43,58.43
30/08/1900,58.39,58.39,58.39,58.39
31/08/1900,57.81,57.81,57.81,57.81
01/09/1900,57.81,57.81,57.81,57.81
02/09/1900,57.81,57.81,57.81,57.81
03/09/1900,57.81,57.81,57.81,57.81
04/09/1900,58.55,58.55,58.55,58.55
